MOVIE ID,TITLE,GENRE,DIRECTOR,YEAR
Chef_1,The Chef,Comedy,John Favreau,2014
Chef_2,The Chef,Comedy,John Favreau,2014
Chef_3,The Chef,Comedy,John Favreau,2014
DWP_1,The Devil Wears Prada,Drama/Comedy,David Frankel,2006
DWP_2,The Devil Wears Prada,Drama/Comedy,David Frankel,2006
DWP_3,The Devil Wears Prada,Drama/Comedy,David Frankel,2006
Wicked_1,Wicked,Musical,Jon M. Chu,2025
Wicked_2,Wicked,Musical,Jon M. Chu,2025
Wicked_3,Wicked,Musical,Jon M. Chu,2025
TSP_1,Trainspotting,Psychological Drama/Dark Comedy,Danny Boyle,1996
TSP_2,Trainspotting,Psychological Drama/Dark Comedy,Danny Boyle,1996
TSP_3,Trainspotting,Psychological Drama/Dark Comedy,Danny Boyle,1996